timestep,base_station_id,users,demand,throughput,cell_load,avg_user_throughput,jains_fairness_index,congestion_ratio
59,1,49,265.775339666385,96.24929633101657,0.9624929633101657,1.9642713536942156,0.9874170827059628,2.65775339666385
60,1,49,278.8511657915963,96.78304861263612,0.9678304861263612,1.975164257400737,0.9911071012331027,2.7885116579159632
61,1,49,282.82779446902674,97.57215734235224,0.9757215734235224,1.9912685171908622,0.9916621601358035,2.8282779446902673
62,1,49,275.75521718632496,97.82564582066054,0.9782564582066055,1.9964417514420518,0.9933529233523655,2.7575521718632494
63,1,49,294.9933186204047,95.83052785833333,0.9583052785833333,1.9557250583333332,0.9855646381143756,2.949933186204047
64,1,49,278.79714268512174,98.01174142440568,0.9801174142440569,2.0002396209062385,0.9947088027648243,2.7879714268512172
65,1,49,279.649477736334,96.20751511278132,0.9620751511278133,1.9634186757710475,0.9859311664318982,2.79649477736334
66,1,49,255.44799316359664,96.29662230008968,0.9629662230008968,1.9652371897977485,0.9908757189384664,2.5544799316359663
67,1,49,258.32725233756855,95.74644887305662,0.9574644887305662,1.9540091606746248,0.9826112468766949,2.5832725233756855
68,1,49,288.3604778111085,96.52406146672755,0.9652406146672754,1.9698788054434193,0.9854383818287943,2.8836047781110854
69,1,49,274.78833987715285,98.46804905318982,0.9846804905318982,2.0095520214936697,0.9963572851306729,2.7478833987715285
70,1,49,296.8633138572893,97.5124850099453,0.9751248500994529,1.9900507144886794,0.9939810663063829,2.9686331385728932
71,1,49,282.8941682523264,97.49429546391436,0.9749429546391436,1.9896794992635582,0.9922409294293032,2.8289416825232636
72,1,49,273.3692495314683,96.01608085416703,0.9601608085416703,1.959511854166674,0.987426587654456,2.733692495314683
73,1,49,275.24969314114657,97.54506046856768,0.9754506046856768,1.9907155197666875,0.9901055966558577,2.7524969314114656
74,1,49,285.01840711539427,97.88198878635168,0.9788198878635168,1.9975916078847282,0.9941063168311394,2.850184071153943
75,1,49,272.86385848270857,97.5654177767687,0.9756541777676869,1.991130975036096,0.9927718817633332,2.7286385848270855
76,1,49,269.91748593712407,98.30182626684865,0.9830182626684865,2.0061597197316052,0.9942263764333527,2.6991748593712406
77,1,49,293.52348418029396,95.57817828686683,0.9557817828686683,1.9505750670789148,0.9835216985401618,2.9352348418029397
78,1,49,284.846284334099,97.1364685536524,0.9713646855365241,1.9823769092582124,0.9913909380617945,2.84846284334099
79,1,49,279.0807631438544,97.06359503369734,0.9706359503369734,1.9808896945652519,0.9905250183136244,2.790807631438544
80,1,49,241.8862943956844,96.79899085527364,0.9679899085527365,1.9754896092912988,0.9924541148727968,2.418862943956844
81,1,49,279.1454730193365,97.77564354030031,0.977756435403003,1.9954212967408227,0.993037395952943,2.791454730193365
82,1,49,253.29495561454289,96.63859328860246,0.9663859328860247,1.9722161895633157,0.9879835560150004,2.5329495561454287
83,1,49,257.457452905823,97.25371011346236,0.9725371011346237,1.9847695941522931,0.9893992716294847,2.5745745290582303
84,1,49,271.25811221657443,97.7705343134364,0.977705343134364,1.9953170268048246,0.9932881051118535,2.7125811221657443
85,1,49,246.58584386451946,98.5902670561045,0.985902670561045,2.012046266451112,0.994555741362945,2.4658584386451947
86,1,49,269.4134418181282,97.08794256373162,0.9708794256373161,1.9813865829332984,0.990658547088809,2.694134418181282
87,1,49,268.89065424624454,96.79157028150861,0.9679157028150861,1.9753381690103797,0.9910892739702473,2.6889065424624454
88,1,49,284.8465070903992,99.76876053603509,0.9976876053603508,2.0360971537966344,0.9998304861979873,2.848465070903992
89,1,49,263.54476894425164,97.60748861884305,0.9760748861884305,1.9919895636498581,0.99215451634477,2.6354476894425165
90,1,49,265.3848683267347,96.3715104215768,0.963715104215768,1.9667655188076898,0.9895022375060498,2.653848683267347
91,1,49,253.61990980026064,95.2315524973189,0.952315524973189,1.9435010713738552,0.9842940610156359,2.5361990980026063
92,1,49,260.4144982352775,96.06991684330946,0.9606991684330946,1.9606105478226419,0.990194810001153,2.604144982352775
93,1,49,270.2225523484668,99.59243301289385,0.9959243301289384,2.032498632916201,0.9994956791052056,2.7022255234846684
94,1,49,267.89120382825223,98.32920649320322,0.9832920649320321,2.00671849986129,0.9928703644733908,2.6789120382825224
95,1,49,267.17052646140354,94.92842944426603,0.9492842944426603,1.9373148866176741,0.9832766388444282,2.6717052646140353
96,1,49,265.8001959642538,95.39632218080618,0.9539632218080618,1.9468637179756363,0.9851634284036322,2.6580019596425384
97,1,49,247.82578397614364,96.23214893991997,0.9623214893991997,1.9639214069371422,0.9878702740269172,2.4782578397614365
98,1,49,290.1169304562757,98.30949544105735,0.9830949544105735,2.0063162334909665,0.9950946441133419,2.901169304562757
99,1,49,260.7167130426558,97.84051276306732,0.9784051276306732,1.9967451584299454,0.9925947151043483,2.607167130426558
100,1,49,277.6212076761954,96.38119717906694,0.9638119717906695,1.9669632077360601,0.9877251208419869,2.7762120767619543
